Year,State,County ID,State / County Name,All Ages SAIPE Poverty Universe,All Ages in Poverty Count,All Ages in Poverty Count LB 90%,All Ages in Poverty Count UB 90%,90% Confidence Interval (All Ages in Poverty Count),All Ages in Poverty Percent,All Ages in Poverty Percent LB 90%,All Ages in Poverty Percent UB 90%,90% Confidence Interval (All Ages in Poverty Percent),Under Age 18 SAIPE Poverty Universe,Under Age 18 in Poverty Count,Under Age 18 in Poverty Count LB 90%,Under Age 18 in Poverty Count UB 90%,90% Confidence Interval (Under Age 18 in Poverty Count),Under Age 18 in Poverty Percent,Under Age 18 in Poverty Percent LB 90%,Under Age 18 in Poverty Percent UB 90%,90% Confidence Interval (Under Age 18 in Poverty Percent),Ages 5 to 17 in Families SAIPE Poverty Universe,Ages 5 to 17 in Families in Poverty Count,Ages 5 to 17 in Families in Poverty Count LB 90%,Ages 5 to 17 in Families in Poverty Count UB 90%,90% Confidence Interval (Ages 5 to 17 in Families in Poverty Count),Ages 5 to 17 in Families in Poverty Percent,Ages 5 to 17 in Families in Poverty Percent LB 90%,Ages 5 to 17 in Families in Poverty Percent UB 90%,90% Confidence Interval (Ages 5 to 17 in Families in Poverty Percent),Under Age 5 SAIPE Poverty Universe,Under Age 5 in Poverty Count,Under Age 5 in Poverty Count LB 90%,Under Age 5 in Poverty Count UB 90%,90% Confidence Interval (Under Age 5 in Poverty Count),Under Age 5 in Poverty Percent,Under Age 5 in Poverty Percent LB 90%,Under Age 5 in Poverty Percent UB 90%,90% Confidence Interval (Under Age 5 in Poverty Percent),Median Household Income in Dollars,Median Household Income in Dollars LB 90%,Median Household Income in Dollars UB 90%,90% Confidence Interval (Median Household Income in Dollars)
2005,40,40000,Oklahoma,3420658,562026,550553,573500,"550,553 to 573,500",16.4,16.1,16.8,16.1 to 16.8,836130,192561,186110,199011,"186,110 to 199,011",23,22.3,23.8,22.3 to 23.8,587901,120814,115557,126071,"115,557 to 126,071",20.6,19.7,21.4,19.7 to 21.4,240611,65812,62403,69221,"62,403 to 69,221",27.4,25.9,28.8,25.9 to 28.8,37020,36484,37557,"$36,484 to $37,557"
2004,40,40000,Oklahoma,3456061,484620,447904,521335,"447,904 to 521,335",14,13,15.1,13.0 to 15.1,848072,171495,154469,188521,"154,469 to 188,521",20.2,18.2,22.2,18.2 to 22.2,596105,103472,88903,118041,"88,903 to 118,041",17.4,14.9,19.8,14.9 to 19.8,241073,59808,50946,68671,"50,946 to 68,671",24.8,21.1,28.5,21.1 to 28.5,37109,35507,38711,"$35,507 to $38,711"
2003,40,40000,Oklahoma,3438050,503702,476487,530917,"476,487 to 530,917",14.7,13.9,15.4,13.9 to 15.4,858972,181562,167460,195665,"167,460 to 195,665",21.1,19.5,22.8,19.5 to 22.8,607576,117122,106406,127838,"106,406 to 127,838",19.3,17.5,21,17.5 to 21.0,239737,58237,49384,67090,"49,384 to 67,090",24.3,20.6,28,20.6 to 28.0,35634,34223,37045,"$34,223 to $37,045"
2002,40,40000,Oklahoma,3428096,498685,472906,524464,"472,906 to 524,464",14.5,13.8,15.3,13.8 to 15.3,877462,177714,164152,191275,"164,152 to 191,275",20.3,18.7,21.8,18.7 to 21.8,624932,111390,100071,122709,"100,071 to 122,709",17.8,16,19.6,16.0 to 19.6,243381,60278,52777,67779,"52,777 to 67,779",24.8,21.7,27.8,21.7 to 27.8,35313,33585,37041,"$33,585 to $37,041"
2001,40,40000,Oklahoma,3387529,487631,464945,510317,"464,945 to 510,317",14.4,13.7,15.1,13.7 to 15.1,866886,178680,163084,194276,"163,084 to 194,276",20.6,18.8,22.4,18.8 to 22.4,609378,110755,97012,124498,"97,012 to 124,498",18.2,15.9,20.4,15.9 to 20.4,237087,58898,52875,64920,"52,875 to 64,920",24.8,22.3,27.4,22.3 to 27.4,34912,33464,36359,"$33,464 to $36,359"
2000,40,40000,Oklahoma,3372484,467081,443803,490360,"443,803 to 490,360",13.8,13.2,14.5,13.2 to 14.5,868039,173994,160857,187131,"160,857 to 187,131",20,18.5,21.6,18.5 to 21.6,615089,109926,98474,121378,"98,474 to 121,378",17.9,16,19.7,16.0 to 19.7,235438,55892,49371,62414,"49,371 to 62,414",23.7,21,26.5,21.0 to 26.5,33417,31723,35111,"$31,723 to $35,111"
1999,40,40000,Oklahoma,3367317,469218,436660,501776,"436,660 to 501,776",13.9,13,14.9,13.0 to 14.9,884061,174513,151527,197500,"151,527 to 197,500",19.7,17.1,22.3,17.1 to 22.3,642821,111417,91583,131251,"91,583 to 131,251",17.3,14.2,20.4,14.2 to 20.4,236302,56263,45666,66860,"45,666 to 66,860",23.8,19.3,28.3,19.3 to 28.3,33005,31704,34306,"$31,704 to $34,306"
1998,40,40000,Oklahoma,3321130,533108,499880,566336,"499,880 to 566,336",16.1,15.1,17.1,15.1 to 17.1,880432,204309,182137,226480,"182,137 to 226,480",23.2,20.7,25.7,20.7 to 25.7,631174,135895,116662,155128,"116,662 to 155,128",21.5,18.5,24.6,18.5 to 24.6,238643,62390,51369,73412,"51,369 to 73,412",26.1,21.5,30.8,21.5 to 30.8,32373,30608,34138,"$30,608 to $34,138"
1997,40,40000,Oklahoma,NA,536804,502650,570958,"502,650 to 570,958",16.3,15.2,17.3,15.2 to 17.3,NA,210470,192501,228439,"192,501 to 228,439",23.7,21.6,25.7,21.6 to 25.7,NA,140212,124907,155517,"124,907 to 155,517",21.6,19.3,24,19.3 to 24.0,NA,63180,54294,72066,"54,294 to 72,066",26.8,23,30.5,23.0 to 30.5,30002,28322,31682,"$28,322 to $31,682"
1996,40,40000,Oklahoma,NA,561382,529711,593054,"529,711 to 593,054",17.1,16.1,18,16.1 to 18.0,NA,224171,206476,241866,"206,476 to 241,866",25.1,23.1,27.1,23.1 to 27.1,NA,145829,129634,162024,"129,634 to 162,024",22.5,20,25,20.0 to 25.0,NA,70585,62293,78877,"62,293 to 78,877",30.4,26.9,34,26.9 to 34.0,27648,26013,29282,"$26,013 to $29,282"
1995,40,40000,Oklahoma,NA,594263,570775,617750,"570,775 to 617,750",18.2,17.5,18.9,17.5 to 18.9,NA,233814,221599,246029,"221,599 to 246,029",26,24.7,27.4,24.7 to 27.4,NA,150460,142436,158484,"142,436 to 158,484",23,21.8,24.3,21.8 to 24.3,NA,76455,67200,85710,"67,200 to 85,710",32.5,28.6,36.5,28.6 to 36.5,26495,25060,27930,"$25,060 to $27,930"
1993,40,40000,Oklahoma,NA,592274,562424,622124,"562,424 to 622,124",18.3,17.4,19.2,17.4 to 19.2,NA,226841,211452,242230,"211,452 to 242,230",25.4,23.7,27.1,23.7 to 27.1,NA,142566,129816,155316,"129,816 to 155,316",22.4,20.4,24.4,20.4 to 24.4,NA,74716,69508,79924,"69,508 to 79,924",31.2,29,33.4,29.0 to 33.4,25791,24538,27044,"$24,538 to $27,044"
1989,40,40000,Oklahoma,NA,495882,480066,511698,"480,066 to 511,698",16,15.5,16.5,15.5 to 16.5,NA,197982,188504,207460,"188,504 to 207,460",23.4,22.3,24.5,22.3 to 24.5,NA,128264,120646,135882,"120,646 to 135,882",21.2,20,22.5,20.0 to 22.5,NA,60238,54103,66373,"54,103 to 66,373",26,23.4,28.7,23.4 to 28.7,23162,21966,24358,"$21,966 to $24,358"
2016,41,41000,Oregon,4016515,538169,524488,551850,"524,488 to 551,850",13.4,13.1,13.7,13.1 to 13.7,851851,146609,139298,153920,"139,298 to 153,920",17.2,16.3,18.1,16.3 to 18.1,615051,97096,90871,103321,"90,871 to 103,321",15.8,14.8,16.8,14.8 to 16.8,228952,42457,38670,46244,"38,670 to 46,244",18.5,16.8,20.2,16.8 to 20.2,57379,56560,58198,"$56,560 to $58,198"
2015,41,41000,Oregon,3952049,601626,586548,616704,"586,548 to 616,704",15.2,14.8,15.6,14.8 to 15.6,844164,167322,159592,175052,"159,592 to 175,052",19.8,18.9,20.7,18.9 to 20.7,614578,111155,104397,117913,"104,397 to 117,913",18.1,17,19.2,17.0 to 19.2,223304,50109,46539,53679,"46,539 to 53,679",22.4,20.8,24,20.8 to 24.0,54074,53200,54948,"$53,200 to $54,948"
2014,41,41000,Oregon,3893489,637156,621361,652951,"621,361 to 652,951",16.4,16,16.8,16.0 to 16.8,839659,179110,171930,186290,"171,930 to 186,290",21.3,20.4,22.2,20.4 to 22.2,609438,117394,111176,123612,"111,176 to 123,612",19.3,18.3,20.3,18.3 to 20.3,224228,56119,52798,59440,"52,798 to 59,440",25,23.5,26.5,23.5 to 26.5,51088,50607,51569,"$50,607 to $51,569"
2013,41,41000,Oregon,3852906,637505,622246,652764,"622,246 to 652,764",16.5,16.1,16.9,16.1 to 16.9,839884,181281,173494,189068,"173,494 to 189,068",21.6,20.7,22.5,20.7 to 22.5,610271,118023,111476,124570,"111,476 to 124,570",19.3,18.2,20.4,18.2 to 20.4,223332,56898,52750,61046,"52,750 to 61,046",25.5,23.6,27.4,23.6 to 27.4,50228,49708,50748,"$49,708 to $50,748"
2012,41,41000,Oregon,3826419,651302,635799,666805,"635,799 to 666,805",17,16.6,17.4,16.6 to 17.4,845825,191922,184441,199403,"184,441 to 199,403",22.7,21.8,23.6,21.8 to 23.6,613470,124909,118327,131491,"118,327 to 131,491",20.4,19.3,21.5,19.3 to 21.5,227140,61909,58450,65368,"58,450 to 65,368",27.3,25.8,28.8,25.8 to 28.8,49090,48332,49848,"$48,332 to $49,848"
2011,41,41000,Oregon,3794233,655245,640576,669914,"640,576 to 669,914",17.3,16.9,17.7,16.9 to 17.7,844537,197346,189801,204891,"189,801 to 204,891",23.4,22.5,24.3,22.5 to 24.3,610250,130998,124665,137331,"124,665 to 137,331",21.5,20.5,22.5,20.5 to 22.5,228882,61131,56947,65315,"56,947 to 65,315",26.7,24.9,28.5,24.9 to 28.5,46876,46200,47552,"$46,200 to $47,552"
2010,41,41000,Oregon,3765930,596649,584161,609137,"584,161 to 609,137",15.8,15.5,16.1,15.5 to 16.1,851736,184511,178153,190869,"178,153 to 190,869",21.7,21,22.4,21.0 to 22.4,612502,119412,113929,124895,"113,929 to 124,895",19.5,18.6,20.4,18.6 to 20.4,233219,59278,56093,62463,"56,093 to 62,463",25.4,24,26.8,24.0 to 26.8,46536,46018,47054,"$46,018 to $47,054"
2009,41,41000,Oregon,3748545,536813,523814,549812,"523,814 to 549,812",14.3,14,14.7,14.0 to 14.7,856578,166073,158804,173342,"158,804 to 173,342",19.4,18.5,20.2,18.5 to 20.2,609050,106122,99818,112426,"99,818 to 112,426",17.4,16.4,18.5,16.4 to 18.5,242365,55061,51453,58670,"51,453 to 58,670",22.7,21.2,24.2,21.2 to 24.2,48325,47730,48920,"$47,730 to $48,920"
2008,41,41000,Oregon,3716663,501475,489177,513773,"489,177 to 513,773",13.5,13.2,13.8,13.2 to 13.8,852726,151964,144487,159442,"144,487 to 159,442",17.8,16.9,18.7,16.9 to 18.7,607519,95675,89110,102240,"89,110 to 102,240",15.7,14.7,16.8,14.7 to 16.8,239104,50517,46912,54122,"46,912 to 54,122",21.1,19.6,22.6,19.6 to 22.6,50165,49652,50679,"$49,652 to $50,679"
2007,41,41000,Oregon,3670528,476647,464245,489050,"464,245 to 489,050",13,12.6,13.3,12.6 to 13.3,844721,145422,138816,152029,"138,816 to 152,029",17.2,16.4,18,16.4 to 18.0,606013,91925,85932,97918,"85,932 to 97,918",15.2,14.2,16.2,14.2 to 16.2,230789,46769,43859,49679,"43,859 to 49,679",20.3,19,21.5,19.0 to 21.5,48735,48095,49375,"$48,095 to $49,375"
2006,41,41000,Oregon,3626932,487358,475915,498802,"475,915 to 498,802",13.4,13.1,13.8,13.1 to 13.8,839776,147558,141234,153883,"141,234 to 153,883",17.6,16.8,18.3,16.8 to 18.3,608935,93570,87905,99235,"87,905 to 99,235",15.4,14.4,16.3,14.4 to 16.3,225530,48118,45190,51047,"45,190 to 51,047",21.3,20,22.6,20.0 to 22.6,46228,45746,46710,"$45,746 to $46,710"
2005,41,41000,Oregon,3538451,497318,485320,509316,"485,320 to 509,316",14.1,13.7,14.4,13.7 to 14.4,824042,154649,148229,161069,"148,229 to 161,069",18.8,18,19.5,18.0 to 19.5,598300,99462,93949,104975,"93,949 to 104,975",16.6,15.7,17.5,15.7 to 17.5,219113,49010,45843,52177,"45,843 to 52,177",22.4,20.9,23.8,20.9 to 23.8,43065,42514,43616,"$42,514 to $43,616"
2004,41,41000,Oregon,3583504,462212,428808,495616,"428,808 to 495,616",12.9,12,13.8,12.0 to 13.8,844666,146476,130225,162726,"130,225 to 162,726",17.3,15.4,19.3,15.4 to 19.3,606134,88798,74114,103482,"74,114 to 103,482",14.6,12.2,17.1,12.2 to 17.1,223334,48084,41254,54914,"41,254 to 54,914",21.5,18.5,24.6,18.5 to 24.6,42568,41122,44014,"$41,122 to $44,014"
2003,41,41000,Oregon,3535766,423253,397983,448523,"397,983 to 448,523",12,11.3,12.7,11.3 to 12.7,846784,147241,133779,160704,"133,779 to 160,704",17.4,15.8,19,15.8 to 19.0,613161,93069,82420,103718,"82,420 to 103,718",15.2,13.4,16.9,13.4 to 16.9,222435,46785,38529,55040,"38,529 to 55,040",21,17.3,24.7,17.3 to 24.7,42593,41192,43994,"$41,192 to $43,994"
2002,41,41000,Oregon,3510161,396157,371636,420678,"371,636 to 420,678",11.3,10.6,12,10.6 to 12.0,845381,127481,114874,140088,"114,874 to 140,088",15.1,13.6,16.6,13.6 to 16.6,615472,83074,72123,94025,"72,123 to 94,025",13.5,11.7,15.3,11.7 to 15.3,222169,38764,32392,45135,"32,392 to 45,135",17.4,14.6,20.3,14.6 to 20.3,41796,40106,43486,"$40,106 to $43,486"
2001,41,41000,Oregon,3449223,382706,361122,404289,"361,122 to 404,289",11.1,10.5,11.7,10.5 to 11.7,834372,126372,111815,140929,"111,815 to 140,929",15.1,13.4,16.9,13.4 to 16.9,600864,79781,66734,92828,"66,734 to 92,828",13.3,11.1,15.4,11.1 to 15.4,217732,37893,32734,43052,"32,734 to 43,052",17.4,15,19.8,15.0 to 19.8,41752,40351,43152,"$40,351 to $43,152"
2000,41,41000,Oregon,3414375,361280,340221,382340,"340,221 to 382,340",10.6,10,11.2,10.0 to 11.2,844950,127544,115946,139142,"115,946 to 139,142",15.1,13.7,16.5,13.7 to 16.5,601141,81627,71244,92010,"71,244 to 92,010",13.6,11.9,15.3,11.9 to 15.3,224823,38504,32870,44138,"32,870 to 44,138",17.1,14.6,19.6,14.6 to 19.6,41662,39856,43468,"$39,856 to $43,468"
1999,41,41000,Oregon,3369775,379250,349206,409293,"349,206 to 409,293",11.3,10.4,12.1,10.4 to 12.1,835672,131441,111496,151385,"111,496 to 151,385",15.7,13.3,18.1,13.3 to 18.1,572785,80320,62844,97796,"62,844 to 97,796",14,11,17.1,11.0 to 17.1,222956,38737,29880,47594,"29,880 to 47,594",17.4,13.4,21.3,13.4 to 21.3,40033,38677,41389,"$38,677 to $41,389"
1998,41,41000,Oregon,3314203,400952,367763,434142,"367,763 to 434,142",12.1,11.1,13.1,11.1 to 13.1,841888,141997,119946,164047,"119,946 to 164,047",16.9,14.2,19.5,14.2 to 19.5,609630,90992,70932,111052,"70,932 to 111,052",14.9,11.6,18.2,11.6 to 18.2,224082,45821,36718,54924,"36,718 to 54,924",20.4,16.4,24.5,16.4 to 24.5,38773,36988,40559,"$36,988 to $40,559"
1997,41,41000,Oregon,NA,379506,348146,410866,"348,146 to 410,866",11.6,10.6,12.6,10.6 to 12.6,NA,134932,116842,153023,"116,842 to 153,023",16.3,14.1,18.4,14.1 to 18.4,NA,82718,66445,98991,"66,445 to 98,991",13.9,11.2,16.7,11.2 to 16.7,NA,46197,38920,53473,"38,920 to 53,473",21.1,17.8,24.5,17.8 to 24.5,37284,35524,39044,"$35,524 to $39,044"
1996,41,41000,Oregon,NA,398220,367678,428762,"367,678 to 428,762",12.3,11.3,13.2,11.3 to 13.2,NA,146438,128322,164554,"128,322 to 164,554",17.6,15.5,19.8,15.5 to 19.8,NA,91011,73611,108411,"73,611 to 108,411",15.2,12.3,18.2,12.3 to 18.2,NA,48303,41682,54924,"41,682 to 54,924",22.1,19.1,25.2,19.1 to 25.2,35144,33192,37096,"$33,192 to $37,096"
1995,41,41000,Oregon,NA,399899,382767,417031,"382,767 to 417,031",12.5,12,13.1,12.0 to 13.1,NA,134378,124554,144203,"124,554 to 144,203",16.4,15.2,17.6,15.2 to 17.6,NA,75693,63716,87670,"63,716 to 87,670",13,10.9,15.1,10.9 to 15.1,NA,47248,39658,54838,"39,658 to 54,838",21.8,18.3,25.3,18.3 to 25.3,34533,32908,36158,"$32,908 to $36,158"
1993,41,41000,Oregon,NA,406722,377627,435817,"377,627 to 435,817",13.2,12.2,14.1,12.2 to 14.1,NA,146719,129476,163962,"129,476 to 163,962",18.3,16.2,20.5,16.2 to 20.5,NA,84510,68989,100031,"68,989 to 100,031",14.7,12,17.4,12.0 to 17.4,NA,53516,49642,57390,"49,642 to 57,390",24.9,23.1,26.7,23.1 to 26.7,30608,29368,31848,"$29,368 to $31,848"
1989,41,41000,Oregon,NA,353222,340795,365649,"340,795 to 365,649",12.5,12.1,13,12.1 to 13.0,NA,139425,131195,147655,"131,195 to 147,655",19.2,18.1,20.3,18.1 to 20.3,NA,85798,78976,92620,"78,976 to 92,620",16.8,15.5,18.2,15.5 to 18.2,NA,46886,41815,51957,"41,815 to 51,957",22.7,20.2,25.1,20.2 to 25.1,27795,26637,28953,"$26,637 to $28,953"
2016,42,42000,Pennsylvania,12368248,1589584,1565866,1613302,"1,565,866 to 1,613,302",12.9,12.7,13.1,12.7 to 13.1,2625498,482298,468656,495940,"468,656 to 495,940",18.4,17.9,18.9,17.9 to 18.9,1916743,329959,318035,341883,"318,035 to 341,883",17.2,16.6,17.8,16.6 to 17.8,695465,139441,132852,146030,"132,852 to 146,030",20.1,19.2,21,19.2 to 21.0,56897,56540,57254,"$56,540 to $57,254"
2015,42,42000,Pennsylvania,12385763,1624991,1600900,1649082,"1,600,900 to 1,649,082",13.1,12.9,13.3,12.9 to 13.3,2642581,505576,492082,519070,"492,082 to 519,070",19.1,18.6,19.6,18.6 to 19.6,1927692,345046,333412,356680,"333,412 to 356,680",17.9,17.3,18.5,17.3 to 18.5,700129,146932,140774,153090,"140,774 to 153,090",21,20.1,21.9,20.1 to 21.9,55683,55309,56057,"$55,309 to $56,057"
2014,42,42000,Pennsylvania,12371337,1679008,1656324,1701692,"1,656,324 to 1,701,692",13.6,13.4,13.8,13.4 to 13.8,2655076,510371,497968,522774,"497,968 to 522,774",19.2,18.7,19.7,18.7 to 19.7,1939992,345676,334721,356631,"334,721 to 356,631",17.8,17.2,18.4,17.2 to 18.4,701947,152168,146131,158205,"146,131 to 158,205",21.7,20.8,22.6,20.8 to 22.6,53224,52810,53638,"$52,810 to $53,638"
2013,42,42000,Pennsylvania,12353267,1687854,1660532,1715176,"1,660,532 to 1,715,176",13.7,13.5,13.9,13.5 to 13.9,2665218,513048,498164,527932,"498,164 to 527,932",19.2,18.6,19.8,18.6 to 19.8,1950979,342181,329626,354736,"329,626 to 354,736",17.5,16.9,18.1,16.9 to 18.1,700671,158010,150101,165919,"150,101 to 165,919",22.6,21.5,23.7,21.5 to 23.7,52005,51751,52259,"$51,751 to $52,259"
2012,42,42000,Pennsylvania,12353852,1688364,1665658,1711070,"1,665,658 to 1,711,070",13.7,13.5,13.9,13.5 to 13.9,2696667,527373,514729,540017,"514,729 to 540,017",19.6,19.1,20.1,19.1 to 20.1,1974122,354232,342826,365638,"342,826 to 365,638",17.9,17.3,18.5,17.3 to 18.5,709543,160622,155264,165980,"155,264 to 165,980",22.6,21.8,23.4,21.8 to 23.4,51225,50962,51488,"$50,962 to $51,488"
2011,42,42000,Pennsylvania,12328587,1690003,1665063,1714943,"1,665,063 to 1,714,943",13.7,13.5,13.9,13.5 to 13.9,2719196,526860,512342,541378,"512,342 to 541,378",19.4,18.9,19.9,18.9 to 19.9,1996617,352731,339815,365647,"339,815 to 365,647",17.7,17.1,18.3,17.1 to 18.3,710909,163486,156773,170199,"156,773 to 170,199",23,22.1,23.9,22.1 to 23.9,50221,49932,50510,"$49,932 to $50,510"
2010,42,42000,Pennsylvania,12298952,1645097,1623338,1666856,"1,623,338 to 1,666,856",13.4,13.2,13.6,13.2 to 13.6,2740786,518779,505091,532467,"505,091 to 532,467",18.9,18.4,19.4,18.4 to 19.4,2013666,352865,340693,365037,"340,693 to 365,037",17.5,16.9,18.1,16.9 to 18.1,716064,155365,148894,161836,"148,894 to 161,836",21.7,20.8,22.6,20.8 to 22.6,49245,48824,49666,"$48,824 to $49,666"
2009,42,42000,Pennsylvania,12165864,1517347,1494826,1539869,"1,494,826 to 1,539,869",12.5,12.3,12.7,12.3 to 12.7,2724371,466423,453997,478849,"453,997 to 478,849",17.1,16.7,17.6,16.7 to 17.6,1980470,305283,294855,315711,"294,855 to 315,711",15.4,14.9,15.9,14.9 to 15.9,731152,148965,142352,155579,"142,352 to 155,579",20.4,19.5,21.3,19.5 to 21.3,49501,49217,49784,"$49,217 to $49,784"
2008,42,42000,Pennsylvania,12011910,1454240,1432018,1476462,"1,432,018 to 1,476,462",12.1,11.9,12.3,11.9 to 12.3,2714645,451648,440240,463057,"440,240 to 463,057",16.6,16.2,17.1,16.2 to 17.1,1979456,299390,289470,309310,"289,470 to 309,310",15.1,14.6,15.6,14.6 to 15.6,723402,141316,135881,146751,"135,881 to 146,751",19.5,18.8,20.3,18.8 to 20.3,50702,50443,50960,"$50,443 to $50,960"
2007,42,42000,Pennsylvania,11998845,1392872,1368825,1416919,"1,368,825 to 1,416,919",11.6,11.4,11.8,11.4 to 11.8,2738451,444089,431354,456824,"431,354 to 456,824",16.2,15.8,16.7,15.8 to 16.7,2006461,293616,282321,304911,"282,321 to 304,911",14.6,14.1,15.2,14.1 to 15.2,717069,137118,131361,142876,"131,361 to 142,876",19.1,18.3,19.9,18.3 to 19.9,48562,48268,48855,"$48,268 to $48,855"
2006,42,42000,Pennsylvania,12015269,1442858,1421887,1463830,"1,421,887 to 1,463,830",12,11.8,12.2,11.8 to 12.2,2755651,459207,445875,472538,"445,875 to 472,538",16.7,16.2,17.1,16.2 to 17.1,2027059,303124,291104,315144,"291,104 to 315,144",15,14.4,15.5,14.4 to 15.5,713643,141927,136022,147831,"136,022 to 147,831",19.9,19.1,20.7,19.1 to 20.7,46256,45970,46542,"$45,970 to $46,542"
2005,42,42000,Pennsylvania,11936227,1416884,1394181,1439586,"1,394,181 to 1,439,586",11.9,11.7,12.1,11.7 to 12.1,2756631,457751,445155,470348,"445,155 to 470,348",16.6,16.1,17.1,16.1 to 17.1,2027316,305450,294602,316298,"294,602 to 316,298",15.1,14.5,15.6,14.5 to 15.6,713713,138376,132425,144327,"132,425 to 144,327",19.4,18.6,20.2,18.6 to 20.2,44545,44163,44927,"$44,163 to $44,927"
2004,42,42000,Pennsylvania,12150103,1361724,1278706,1444741,"1,278,706 to 1,444,741",11.2,10.5,11.9,10.5 to 11.9,2796998,446151,405686,486616,"405,686 to 486,616",16,14.5,17.4,14.5 to 17.4,2034719,289566,254175,324957,"254,175 to 324,957",14.2,12.5,16,12.5 to 16.0,712808,133492,115305,151680,"115,305 to 151,680",18.7,16.2,21.3,16.2 to 21.3,43714,42422,45006,"$42,422 to $45,006"
2003,42,42000,Pennsylvania,12125878,1279408,1209693,1349122,"1,209,693 to 1,349,122",10.6,10,11.1,10.0 to 11.1,2821493,419687,385784,453590,"385,784 to 453,590",14.9,13.7,16.1,13.7 to 16.1,2073654,274088,247232,300944,"247,232 to 300,944",13.2,11.9,14.5,11.9 to 14.5,704390,129519,109748,149290,"109,748 to 149,290",18.4,15.6,21.2,15.6 to 21.2,42952,41706,44199,"$41,706 to $44,199"
2002,42,42000,Pennsylvania,12109550,1210508,1137293,1283724,"1,137,293 to 1,283,724",10,9.4,10.6,9.4 to 10.6,2817228,393466,359175,427756,"359,175 to 427,756",14,12.7,15.2,12.7 to 15.2,2090185,268293,238716,297870,"238,716 to 297,870",12.8,11.4,14.3,11.4 to 14.3,697459,111132,94130,128134,"94,130 to 128,134",15.9,13.5,18.4,13.5 to 18.4,42043,40589,43497,"$40,589 to $43,497"
2001,42,42000,Pennsylvania,12036010,1205942,1139550,1272335,"1,139,550 to 1,272,335",10,9.5,10.6,9.5 to 10.6,2828575,390874,351405,430344,"351,405 to 430,344",13.8,12.4,15.2,12.4 to 15.2,2090993,259102,223837,294367,"223,837 to 294,367",12.4,10.7,14.1,10.7 to 14.1,700033,112318,97980,126656,"97,980 to 126,656",16,14,18.1,14.0 to 18.1,42288,40926,43651,"$40,926 to $43,651"
2000,42,42000,Pennsylvania,12008589,1135928,1068605,1203251,"1,068,605 to 1,203,251",9.5,8.9,10,8.9 to 10.0,2846412,372192,337147,407237,"337,147 to 407,237",13.1,11.8,14.3,11.8 to 14.3,2091008,234433,201913,266953,"201,913 to 266,953",11.2,9.7,12.8,9.7 to 12.8,707100,117267,100848,133686,"100,848 to 133,686",16.6,14.3,18.9,14.3 to 18.9,41419,39877,42961,"$39,877 to $42,961"
1999,42,42000,Pennsylvania,12035937,1207202,1120460,1293945,"1,120,460 to 1,293,945",10,9.3,10.8,9.3 to 10.8,2901297,406902,351017,462786,"351,017 to 462,786",14,12.1,16,12.1 to 16.0,2154989,275181,226253,324109,"226,253 to 324,109",12.8,10.5,15,10.5 to 15.0,720960,116809,92502,141117,"92,502 to 141,117",16.2,12.8,19.6,12.8 to 19.6,38918,37705,40130,"$37,705 to $40,130"
1998,42,42000,Pennsylvania,11913867,1277442,1189715,1365169,"1,189,715 to 1,365,169",10.7,10,11.5,10.0 to 11.5,2892577,477943,422182,533704,"422,182 to 533,704",16.5,14.6,18.5,14.6 to 18.5,2113600,326285,276195,376375,"276,195 to 376,375",15.4,13.1,17.8,13.1 to 17.8,730662,127901,105436,150366,"105,436 to 150,366",17.5,14.4,20.6,14.4 to 20.6,39116,37767,40464,"$37,767 to $40,464"
1997,42,42000,Pennsylvania,NA,1297614,1209254,1385974,"1,209,254 to 1,385,974",10.9,10.1,11.6,10.1 to 11.6,NA,482596,436626,528566,"436,626 to 528,566",16.6,15,18.1,15.0 to 18.1,NA,314407,275277,353537,"275,277 to 353,537",14.8,12.9,16.6,12.9 to 16.6,NA,140825,118170,163481,"118,170 to 163,481",18.8,15.8,21.9,15.8 to 21.9,37267,35963,38571,"$35,963 to $38,571"
1996,42,42000,Pennsylvania,NA,1371267,1285292,1457241,"1,285,292 to 1,457,241",11.5,10.8,12.2,10.8 to 12.2,NA,483014,437619,528408,"437,619 to 528,408",16.5,14.9,18,14.9 to 18.0,NA,326556,285687,367425,"285,687 to 367,425",15.3,13.4,17.3,13.4 to 17.3,NA,133344,111282,155406,"111,282 to 155,406",17.6,14.7,20.5,14.7 to 20.5,35109,33752,36465,"$33,752 to $36,465"
1995,42,42000,Pennsylvania,NA,1360793,1300382,1421203,"1,300,382 to 1,421,203",11.4,10.9,11.9,10.9 to 11.9,NA,510429,477923,542934,"477,923 to 542,934",17.3,16.2,18.4,16.2 to 18.4,NA,332828,309998,355658,"309,998 to 355,658",15.7,14.6,16.8,14.6 to 16.8,NA,155376,132069,178682,"132,069 to 178,682",19.8,16.9,22.8,16.9 to 22.8,34437,33231,35643,"$33,231 to $35,643"
1993,42,42000,Pennsylvania,NA,1546672,1451384,1641960,"1,451,384 to 1,641,960",12.9,12.1,13.7,12.1 to 13.7,NA,582194,530094,634294,"530,094 to 634,294",19.7,17.9,21.5,17.9 to 21.5,NA,377578,333434,421722,"333,434 to 421,722",18.1,15.9,20.2,15.9 to 20.2,NA,187118,164863,209373,"164,863 to 209,373",22.7,20,25.4,20.0 to 25.4,31044,30039,32049,"$30,039 to $32,049"
